Actor1Name,Actor2CountryCode,Actor2Type1Code,Actor2Type2Code,AvgTone,MonthYear,NumSources,SOURCEURL
HEALTH OFFICIAL,IND,GOV,,-1.88679245283018,202003,1,https://www.republicworld.com/india-news/politics/rahul-gandhi-came-from-italy-he-too-must-get-checked-bjp-mp-bidhuri.html
HEALTH MINIST,IND,GOV,HLH,-2.16121183099429,202003,2,https://www.mapsofindia.com/my-india/health/covid19-live-updates-coronavirus-outbreak-in-india-where-to-report-and-how-to-prevent
IRAN,IRN,GOV,,-7.05456095481671,202003,2,https://www.cnn.com/2020/03/04/middleeast/iran-coronavirus-response-intl/
IRAN,FRA,GOV,,1.89327705758215,202003,1,http://www.china.org.cn/world/Off_the_Wire/2020-03/05/content_75774802.htm
HEALTH MINIST,ISR,GOV,,0.59523809523809,202003,1,https://hamodia.com/2020/03/04/health-ministry-israelis-returning-france-germany-switzerland-spain-austria-quarantined/
HEALTH MINIST,ISR,GOV,HLH,0.59523809523809,202003,1,https://hamodia.com/2020/03/04/health-ministry-israelis-returning-france-germany-switzerland-spain-austria-quarantined/
HEALTH MINIST,ISR,GOV,,-2.29885057471265,202003,1,https://www.haaretz.com/israel-news/.premium-two-more-israelis-catch-coronavirus-at-toy-store-bringing-total-to-15-1.8626908
HEALTH MINIST,JPN,GOV,,-3.27868852459017,202003,1,https://www.irishmirror.ie/news/irish-news/coronavirus-ireland-irish-holiday-destinations-21629863
RUDYARD SPENCER,JAM,GOV,LAB,-2.33918128654971,202003,1,http://www.jamaicaobserver.com/latestnews/PNPs_Duncan_Sutherland_apologises_for_Observer_ploy_
KENYA,KEN,GOV,,-1.94274028629857,202003,1,https://www.msn.com/en-sg/news/other/coronavirus-kenya-becomes-latest-african-nation-to-suspend-flights-from-cities-at-heart-of-italian-outbreak/ar-BB10K2CF
KENYAN,KEN,GOV,,-1.94274028629857,202003,1,https://www.msn.com/en-sg/news/other/coronavirus-kenya-becomes-latest-african-nation-to-suspend-flights-from-cities-at-heart-of-italian-outbreak/ar-BB10K2CF
ICRC,LBN,GOV,,-2.27277423087254,202003,1,http://nna-leb.gov.lb/en/show-news/113125/Diab-meets-ICRC-Lebanon-Chief
HEALTH MINIST,THA,GOV,,-9.44932053196543,202003,3,https://www.bnnbloomberg.ca/thailand-mulls-mandatory-14-day-coronavirus-quarantine-on-high-risk-arrivals-1.1399797
UGANDA,UGA,GOV,,-1.6597510373444,202003,1,https://allafrica.com/stories/202003040018.html
PFIZER,USA,GOV,,-1.41242937853108,202003,1,https://www.independent.ie/world-news/coronavirus/human-trials-of-vaccine-to-begin-next-month-say-scientists-39012699.html
PFIZER,USA,GOV,,-1.41242937853108,202003,1,https://www.independent.ie/world-news/coronavirus/human-trials-of-vaccine-to-begin-next-month-say-scientists-39012699.html
MINIST OF HEALTH,UKR,GOV,,4.57516339869281,202003,1,https://www.kyivpost.com/ukraine-politics/first-briefing-of-new-health-minister-will-be-on-covid-19.html
HEALTH OFFICIAL,USA,GOV,HLH,-1.99203187250996,202003,1,https://www.msn.com/en-us/health/medical/updated-1st-california-coronavirus-death-former-princess-cruise-ship-passenger-from-placer-county/ar-BB10K8SD
HEALTH OFFICIAL,USA,GOV,HLH,-1.99203187250996,202003,1,https://www.msn.com/en-us/health/medical/updated-1st-california-coronavirus-death-former-princess-cruise-ship-passenger-from-placer-county/ar-BB10K8SD
WORLD HEALTH ORGANIZATION,USA,GOV,,0.313087981137885,202003,8,https://www.jsonline.com/story/news/nation/2020/03/04/handshake-elbow-bump-new-greetings-coronavirus-outbreak/4937302002/
WORLD HEALTH ORGANIZATION,USA,GOV,,0,202003,1,https://news.yahoo.com/goodbye-handshake-hello-elbow-bump-105740673.html
HEALTH OFFICIAL,USA,GOV,,-0.93457943925234,202003,1,https://www.washingtontimes.com/news/2020/mar/4/unc-wilmington-cancels-study-in-europe-due-to-coro/
HEALTH MINIST,USA,GOV,HLH,5,202003,1,https://a1plus.am/en/article/361287
UNITED STATES,USA,GOV,HLH,5,202003,1,https://a1plus.am/en/article/361287
UNITED STATES,USA,GOV,,0,202003,1,https://www.theadvocate.com/baton_rouge/news/article_7c081542-5db7-11ea-8b10-afd93706fdec.html
HEALTH DEPARTMENT,USA,GOV,,0.141643059490081,202003,1,https://newstalkkgvo.com/city-council-meeting-on-precautions-against-coronavirus-and-debunking-mask-myths/
HEALTH DEPARTMENT,USA,GOV,,0.141643059490081,202003,1,https://newstalkkgvo.com/city-council-meeting-on-precautions-against-coronavirus-and-debunking-mask-myths/
HEALTH OFFICIAL,USA,GOV,,-4.60333006856023,202003,1,https://www.swissinfo.ch/eng/bloomberg/cdc-expands-testing--more-infections-in-nyc-suburb--virus-update/45594682
HEALTH OFFICIAL,USA,GOV,,-4.60333006856023,202003,1,https://www.swissinfo.ch/eng/bloomberg/cdc-expands-testing--more-infections-in-nyc-suburb--virus-update/45594682
